! Supplementary Material
! Trandat:Mechanism for 1-, 2-, and 3-pentanol
! Manuscript: 1-, 2-, and 3-pentanol combustion in laminar hydrogen flames - a comparative experimental and modeling study.
! Markus Köhler, Trupti Kathrotia, Patrick Oßwald, Marileen L. Fischer-Tammer, Kai Moshammer, Uwe Riedel

Ar                 0   136.500     3.330     0.000     0.000     0.000 !CHEMKIN-v4.1.1
He                 0    10.200     2.576     0.000     0.000     0.000 !CHEMKIN-v4.1.1
N2                 1    97.530     3.621     0.000     1.760     4.000 !CHEMKIN-v4.1.1
C4H8O-1-3          2   306.961     5.821     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 557.541K Pc=  47.042bar Vc= 258.500cm3/mol Tb= 387.260K	(CdHR2, CdHR2, CsH2R2, CsH3R, Alcohol)
C5H11OJ-2-5        2   300.371     6.211     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.757K Pc=  40.777bar Vc= 328.500cm3/mol Tb= 405.540K	(CsH3R, CsHR3, CsH2R2, CsH2R2, CsH3R, Alcohol)
C3H5OJ-2-1         2   337.203     5.265     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 500.248K Pc=  50.228bar Vc= 209.500cm3/mol Tb= 321.910K	(CsH3R, Ketone_Ccentered, CsH3R, Ketone_Ocentered)
C5H10O-1-al        2   337.141     6.000     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 535.328K Pc=  37.916bar Vc= 332.500cm3/mol Tb= 362.460K	(Aldehyde_Ccentered, CsH2R2, CsH2R2, CsH2R2, CsH3R, Aldehyde_Ocentered)
C5H10O-2-al        2   349.904     6.044     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 545.874K Pc=  37.408bar Vc= 321.500cm3/mol Tb= 367.670K	(CsH3R, Ketone_Ccentered, CsH2R2, CsH2R2, CsH3R, Ketone_Ocentered)
C5H10O-2-1         2   308.829     6.149     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.755K Pc=  41.303bar Vc= 309.500cm3/mol Tb= 402.220K	(CsH3R, CsHR3, CsH2R2, Alcohol, CdHR2, CdH2R)
C3H5OJ-1-3         2   300.783     5.377     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 535.055K Pc=  56.532bar Vc= 202.500cm3/mol Tb= 364.380K	(CsH3R, CdHR2, CdHR2, Alcohol)
C5H10O-3-ol        2   316.724     6.168     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 582.879K Pc=  41.677bar Vc= 315.500cm3/mol Tb= 410.020K	(CsH3R, CdHR2, CdR3, CsH2R2, CsH3R, Alcohol)
C5H10O-2-ol1       2   307.606     6.161     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.506K Pc=  41.144bar Vc= 316.500cm3/mol Tb= 402.540K	(CdH2R, CdR3, CsH2R2, CsH2R2, CsH3R, Alcohol)
C5H10O-1-1         2   300.043     6.188     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 567.486K Pc=  40.881bar Vc= 315.500cm3/mol Tb= 402.660K	(CsH2R2, CsH2R2, Alcohol, CdH2R, CdHR2, CsH2R2)
C5H10O-3-1         2   308.829     6.149     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.755K Pc=  41.303bar Vc= 309.500cm3/mol Tb= 402.220K	(CsH3R, CsH2R2, CsHR3, Alcohol, CdHR2, CdH2R)
C5H10O-3-al        2   349.904     6.044     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 545.874K Pc=  37.408bar Vc= 321.500cm3/mol Tb= 367.670K	(CsH3R, CsH2R2, Ketone_Ccentered, CsH2R2, CsH3R, Ketone_Ocentered)
C5H9J-2            2   341.879     5.678     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 489.897K Pc=  38.388bar Vc= 295.500cm3/mol Tb= 317.960K	(CsH3R, CdHR2, CdHR2, CsH2R2, CsH3R)
C5H10O-2-2         2   317.990     6.157     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 583.151K Pc=  41.839bar Vc= 308.500cm3/mol Tb= 409.700K	(CsH3R, CsHR3, Alcohol, CsH3R, CdHR2, CdHR2)
C5H10O-1-2         2   308.931     6.196     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 579.749K Pc=  41.409bar Vc= 314.500cm3/mol Tb= 410.140K	(CsH2R2, CsH2R2, Alcohol, CsH3R, CdHR2, CdHR2)
C5H9J-5            2   330.384     5.656     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 476.456K Pc=  37.916bar Vc= 296.500cm3/mol Tb= 310.480K	(CdH2R, CdHR2, CsH2R2, CsH2R2, CsH3R)
C5H10O-2-ol2       2   316.724     6.168     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 582.879K Pc=  41.677bar Vc= 315.500cm3/mol Tb= 410.020K	(CsH3R, CdR3, CdHR2, CsH2R2, CsH3R, Alcohol)
C4H7OJ-2-2         2   311.220     5.724     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 560.784K Pc=  49.524bar Vc= 259.500cm3/mol Tb= 387.140K	(CsH3R, CdR3, CdHR2, CsH3R, Alcohol)
C5H11OJ-1-6        2   291.799     6.252     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 567.616K Pc=  40.364bar Vc= 334.500cm3/mol Tb= 405.980K	(CsH2R2, CsH2R2, CsH2R2, CsH2R2, CsH3R, Alcohol)
C5H11OJ-3-4        2   300.371     6.211     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.757K Pc=  40.777bar Vc= 328.500cm3/mol Tb= 405.540K	(CsH3R, CsH2R2, CsHR3, CsH2R2, CsH3R, Alcohol)
C5H11OJ-2-6        2   300.371     6.211     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.757K Pc=  40.777bar Vc= 328.500cm3/mol Tb= 405.540K	(CsH3R, CsHR3, CsH2R2, CsH2R2, CsH3R, Alcohol)
C4H7OJ-2-1         2   311.220     5.724     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 560.784K Pc=  49.524bar Vc= 259.500cm3/mol Tb= 387.140K	(CsH3R, CdR3, CdHR2, CsH3R, Alcohol)
C4H6O-2-1          2   351.062     5.569     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 523.881K Pc=  44.623bar Vc= 246.500cm3/mol Tb= 341.470K	(CsH3R, Ketone_Ccentered, CdHR2, CdH2R, Ketone_Ocentered)
C5H10O-1-ol        2   308.931     6.196     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 579.749K Pc=  41.409bar Vc= 314.500cm3/mol Tb= 410.140K	(CdHR2, CdHR2, CsH2R2, CsH2R2, CsH3R, Alcohol)
C4H7OJ-1-1         2   294.279     5.742     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 545.024K Pc=  48.494bar Vc= 259.500cm3/mol Tb= 379.780K	(Alcohol, CsH2R2, CsH2R2, CdHR2, CdH2R)
C4H7OJ-1-2         2   303.408     5.750     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 557.541K Pc=  49.177bar Vc= 258.500cm3/mol Tb= 387.260K	(CdHR2, CdHR2, CsH2R2, CsH3R, Alcohol)
C5H9J-4            2   330.384     5.656     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 476.456K Pc=  37.916bar Vc= 296.500cm3/mol Tb= 310.480K	(CdH2R, CdHR2, CsH2R2, CsH2R2, CsH3R)
C4H7OJ-2-3         2   342.538     5.619     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 523.298K Pc=  44.033bar Vc= 265.500cm3/mol Tb= 344.790K	(CsH3R, Ketone_Ccentered, CsH2R2, CsH3R, Ketone_Ocentered)
C3H5OJ-1-2         2   324.152     5.218     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 489.194K Pc=  51.020bar Vc= 220.500cm3/mol Tb= 316.700K	(CsH3R, CsH2R2, Aldehyde_Ccentered, Aldehyde_Ocentered)
C5H9J-3            2   341.879     5.678     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 489.897K Pc=  38.388bar Vc= 295.500cm3/mol Tb= 317.960K	(CsH3R, CdHR2, CdHR2, CsH2R2, CsH3R)
C4H7OJ-1-3         2   294.279     5.742     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 545.024K Pc=  48.494bar Vc= 259.500cm3/mol Tb= 379.780K	(CsH2R2, CsH2R2, Alcohol, CdHR2, CdH2R)
C5H8(133)          2   349.619     5.630     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 490.286K Pc=  38.868bar Vc= 276.500cm3/mol Tb= 314.640K	(CsH3R, CdHR2, CdHR2, CdHR2, CdH2R)
C4H5OJ-1           2   347.943     5.500     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 523.881K Pc=  46.593bar Vc= 246.500cm3/mol Tb= 341.470K	(CsH3R, Ketone_Ccentered, CdHR2, CdH2R, Ketone_Ocentered)
C4H7OJ-2-4         2   301.855     5.716     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 548.150K Pc=  48.834bar Vc= 260.500cm3/mol Tb= 379.660K	(CdH2R, CdR3, CsH2R2, CsH3R, Alcohol)
C4H6O-1-1          2   337.886     5.522     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 512.901K Pc=  45.286bar Vc= 257.500cm3/mol Tb= 336.260K	(CdH2R, CdHR2, CsH2R2, Aldehyde_Ccentered, Aldehyde_Ocentered)
C5H9OJ-1-1         2   333.969     5.932     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 535.328K Pc=  39.456bar Vc= 332.500cm3/mol Tb= 362.460K	(Aldehyde_Ccentered, CsH2R2, CsH2R2, CsH2R2, CsH3R, Aldehyde_Ocentered)
C4H6O-2-2          2   310.371     5.658     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 548.328K Pc=  49.524bar Vc= 241.500cm3/mol Tb= 376.340K	(Alcohol, CdH2R, CdR3, CdHR2, CdH2R)
C5H9OJ-2-1         2   313.097     6.098     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 582.879K Pc=  43.454bar Vc= 315.500cm3/mol Tb= 410.020K	(CsH3R, CdR3, CdHR2, CsH2R2, CsH3R, Alcohol)
C5H9OJ-3-2         2   313.097     6.098     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 582.879K Pc=  43.454bar Vc= 315.500cm3/mol Tb= 410.020K	(CsH3R, CdHR2, CdR3, CsH2R2, CsH3R, Alcohol)
C2H3OJ-2           2   287.475     5.000     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 499.136K Pc=  64.619bar Vc= 147.500cm3/mol Tb= 334.020K	(CdH2R, CdHR2, Alcohol)
C2H5OJ-3           2   282.956     5.128     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 499.111K Pc=  60.467bar Vc= 166.500cm3/mol Tb= 337.340K	(CsH3R, CsH2R2, Alcohol)
C5H9OJ-1-2         2   333.969     5.932     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 535.328K Pc=  39.456bar Vc= 332.500cm3/mol Tb= 362.460K	(Aldehyde_Ccentered, CsH2R2, CsH2R2, CsH2R2, CsH3R, Aldehyde_Ocentered)
C5H9OJ-3-1         2   346.698     5.976     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 545.874K Pc=  38.916bar Vc= 321.500cm3/mol Tb= 367.670K	(CsH3R, CsH2R2, Ketone_Ccentered, CsH2R2, CsH3R, Ketone_Ocentered)
C5H8O-3-1          2   355.474     5.923     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 546.412K Pc=  39.407bar Vc= 302.500cm3/mol Tb= 364.350K	(CsH3R, CsH2R2, Ketone_Ccentered, Ketone_Ocentered, CdHR2, CdH2R)
C5H9OJ-2-3         2   305.283     6.079     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.755K Pc=  43.056bar Vc= 309.500cm3/mol Tb= 402.220K	(CsH3R, CsHR3, CsH2R2, Alcohol, CdHR2, CdH2R)
C4H6O-1-2          2   312.067     5.690     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 557.764K Pc=  49.874bar Vc= 239.500cm3/mol Tb= 383.940K	(CdH2R, CdHR2, CdHR2, CdHR2, Alcohol)
C5H9OJ-3-3         2   313.097     6.098     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 582.879K Pc=  43.454bar Vc= 315.500cm3/mol Tb= 410.020K	(CsH3R, CdHR2, CdR3, CsH2R2, CsH3R, Alcohol)
C5H9OJ-2-4         2   313.097     6.098     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 582.879K Pc=  43.454bar Vc= 315.500cm3/mol Tb= 410.020K	(CsH3R, CdR3, CdHR2, CsH2R2, CsH3R, Alcohol)
C5H9OJ-2-5         2   313.097     6.098     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 582.879K Pc=  43.454bar Vc= 315.500cm3/mol Tb= 410.020K	(CsH3R, CdR3, Alcohol, CsH3R, CsH2R2, CdHR2)
C5H8O-2-1          2   366.623     5.938     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 559.719K Pc=  39.906bar Vc= 301.500cm3/mol Tb= 371.830K	(CsH3R, Ketone_Ccentered, CdHR2, CdHR2, CsH3R, Ketone_Ocentered)
C3H4O(121)         2   290.784     4.616     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 419.883K Pc=  61.515bar Vc= 200.500cm3/mol Tb= 262.190K	(CsH3R, CdHR2, CddR2, Od)
C5H8O-1-1          2   306.849     5.324     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 469.317K Pc=  46.466bar Vc= 312.500cm3/mol Tb= 307.950K	(CddR2, CdHR2, CsH2R2, CsH2R2, CsH3R, Od)
C3H7OJ-2-2         2   295.279     5.464     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 525.644K Pc=  52.970bar Vc= 216.500cm3/mol Tb= 359.780K	(CsH3R, CsHR3, CsH3R, Alcohol)
C4H5OJ-2           2   347.943     5.500     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 523.881K Pc=  46.593bar Vc= 246.500cm3/mol Tb= 341.470K	(CsH3R, Ketone_Ccentered, CdHR2, CdH2R, Ketone_Ocentered)
C5H9OJ-1-4         2   305.322     6.125     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 579.749K Pc=  43.169bar Vc= 314.500cm3/mol Tb= 410.140K	(CsH2R2, CsH2R2, CsH3R, CdHR2, CdHR2, Alcohol)
C5H7OJ-2-1         2   352.253     5.855     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 546.412K Pc=  41.039bar Vc= 302.500cm3/mol Tb= 364.350K	(CsH3R, CsH2R2, Ketone_Ccentered, Ketone_Ocentered, CdHR2, CdH2R)
C2H3OJ-1           2   287.475     5.000     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 499.136K Pc=  64.619bar Vc= 147.500cm3/mol Tb= 334.020K	(Alcohol, CdHR2, CdH2R)
C5H6O-1            2   361.164     5.803     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 547.089K Pc=  41.570bar Vc= 283.500cm3/mol Tb= 361.030K	(CdH2R, CdHR2, Ketone_Ccentered, Ketone_Ocentered, CdHR2, CdH2R)
C4H5OJ-3           2   398.229     5.381     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 587.837K Pc=  55.114bar Vc= 216.500cm3/mol Tb= 374.420K	(CsringH2R2, Ketone_ring, CsringH2R2, CsringH2R2, Ketone_Ocentered)
C5H9OJ-2-2         2   346.698     5.976     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 545.874K Pc=  38.916bar Vc= 321.500cm3/mol Tb= 367.670K	(CsH3R, Ketone_Ccentered, CsH2R2, CsH2R2, CsH3R, Ketone_Ocentered)
C5H9OJ-1-5         2   305.322     6.125     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 579.749K Pc=  43.169bar Vc= 314.500cm3/mol Tb= 410.140K	(CdHR2, CdHR2, CsH2R2, CsH2R2, CsH3R, Alcohol)
C5H10O-1-3         2   308.931     6.196     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 579.749K Pc=  41.409bar Vc= 314.500cm3/mol Tb= 410.140K	(CsH2R2, CdHR2, CdHR2, CsH2R2, CsH3R, Alcohol)
C5H9OJ-1-3         2   333.969     5.932     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 535.328K Pc=  39.456bar Vc= 332.500cm3/mol Tb= 362.460K	(Aldehyde_Ccentered, CsH2R2, CsH2R2, CsH2R2, CsH3R, Aldehyde_Ocentered)
C5H9OJ-1-6         2   305.322     6.125     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 579.749K Pc=  43.169bar Vc= 314.500cm3/mol Tb= 410.140K	(CsH2R2, CsH2R2, Alcohol, CsH3R, CdHR2, CdHR2)
C4H7OJ-2-5         2   311.220     5.724     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 560.784K Pc=  49.524bar Vc= 259.500cm3/mol Tb= 387.140K	(CsH3R, CdR3, CdHR2, CsH3R, Alcohol)
C5H7OJ-2-2         2   318.350     5.965     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 583.136K Pc=  45.964bar Vc= 296.500cm3/mol Tb= 406.700K	(CsH3R, CdHR2, CdR3, Alcohol, CdHR2, CdH2R)
C5H9OJ-1-7         2   305.322     6.125     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 579.749K Pc=  43.169bar Vc= 314.500cm3/mol Tb= 410.140K	(CdHR2, CdHR2, CsH2R2, CsH2R2, CsH3R, Alcohol)
C5H8O-1-2          2   353.328     5.893     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 548.861K Pc=  40.466bar Vc= 312.500cm3/mol Tb= 366.620K	(Aldehyde_Ccentered, CdHR2, CdHR2, CsH2R2, CsH3R, Aldehyde_Ocentered)
C5H7OJ-1-1         2   350.062     5.824     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 548.861K Pc=  42.166bar Vc= 312.500cm3/mol Tb= 366.620K	(Aldehyde_Ccentered, CdHR2, CdHR2, CsH2R2, CsH3R, Aldehyde_Ocentered)
C4H7J(867)         2   322.495     5.306     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 452.254K Pc=  42.831bar Vc= 240.500cm3/mol Tb= 287.600K	(CdH2R, CdHR2, CsH2R2, CsH3R)

