! Supplementary Material
! Trandat:Mechanism for 1-, 2-, and 3-pentanol
! Manuscript: 1-, 2-, and 3-pentanol combustion in laminar hydrogen flames - a comparative experimental and modeling study.
! Markus Köhler, Trupti Kathrotia, Patrick Oßwald, Marileen L. Fischer-Tammer, Kai Moshammer, Uwe Riedel

Ar                 0   136.500     3.330     0.000     0.000     0.000 !CHEMKIN-v4.1.1
He                 0    10.200     2.576     0.000     0.000     0.000 !CHEMKIN-v4.1.1
N2                 1    97.530     3.621     0.000     1.760     4.000 !CHEMKIN-v4.1.1
C3H3(41)           2   252.000     4.760     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C3H3)	 //! JAM
pC3H4(42)          1   252.000     4.760     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: pC3H4)	
aC3H4(43)          1   252.000     4.760     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: aC3H4)	
cC3H4(44)          1   252.000     4.760     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: cC3H4)	
aC3H5(45)          2   266.800     4.982     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: aC3H5)	
CH3CCH2(46)        2   266.800     4.982     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: CH3CCH2)	
CH3CHCH(47)        2   266.800     4.982     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: CH3CHCH)	
C3H6(48)           2   266.800     4.982     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C3H6)	
nC3H7(49)          2   266.800     4.982     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: nC3H7)	
iC3H7(50)          2   266.800     4.982     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: iC3H7)	
C3H8(51)           2   266.800     4.982     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C3H8)	
CH2CHCO(52)        1   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: CH2CHCO)	
C2H3CHO(53)        2   357.000     5.176     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C2H3CHO)	
CH3CHOCH2(54)      2   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: CH3CHOCH2)	
CH3CH2CHO(55)      1   252.000     4.760     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: CH3CH2CHO)	
