!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!                      The oxidation of the novel lignocellulosic biofuel gamma-valerolactone in a low pressure flame                                     !!
!!        Alena Sudholt(a), Rupali Tripathi(a), Daniel Mayer(a), Pierre-Alexandre Glaude(b), Frederique Battin-Leclerc(b), Heinz Pitsch(a)                 !!
!!																																						   !!
!!					(a) Institute for Combustion Technology, Templergraben 64, RWTH Aachen University, 52056 Aachen, Germany							   !!
!!					(b) Laboratoire Reaction et Genie des Procedes, CNRS, Universite de Lorraine, 1 Rue Grandville, 54001 Nancy Cedex, France			   !!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!!
#SPECNAME      DUMMY     EPS/K     SIGMA     DUMMY     DUMMY     DUMMY
CH2CHO             0   436.000     3.970     0.000     0.000     0.000
A-C3H5             0   266.800     4.982     0.000     0.000     0.000
C4H6               0   357.000     5.180     0.000     0.000     0.000
C2H3CHO            0   428.800     4.958     0.000     0.000     0.000
C2H4O1-2           0   333.779     4.304     0.000     0.000     0.000
C2H5O              0   470.600     4.410     0.000     0.000     0.000
N-C3H7             0   266.800     4.982     0.000     0.000     0.000
C4H10              0   391.983     4.716     0.000     0.000     0.000
C2H6               0   252.300     4.302     0.000     0.000     0.000
C2O                0   232.400     3.828     0.000     0.000     0.000
C2H3O1-2           0   329.328     4.271     0.000     0.000     0.000
CH3CO              0   329.328     4.271     0.000     0.000     0.000
C2H4OH             0   470.600     4.410     0.000     0.000     0.000
CH3CHOH            0   470.600     4.410     0.000     0.000     0.000
CH3OCH2            0   338.188     4.336     0.000     0.000     0.000
C2H5OH             0   470.600     4.410     0.000     0.000     0.000
CH3OCH3            0   342.555     4.368     0.000     0.000     0.000
CH3CO2             0   395.586     4.740     0.000     0.000     0.000
CH3OCO             0   395.586     4.740     0.000     0.000     0.000
C2H4O2H            0   403.365     4.793     0.000     0.000     0.000
C2H5O2             0   403.365     4.793     0.000     0.000     0.000
C2H5O2H            0   407.213     4.819     0.000     0.000     0.000
CH3CO3             0   454.613     5.131     0.000     0.000     0.000
CH3CO3H            0   458.145     5.153     0.000     0.000     0.000
O2C2H4OH           0   461.657     5.176     0.000     0.000     0.000
C3H2               0   209.000     4.100     0.000     0.000     0.000
C4H2               0   357.000     5.180     0.000     0.000     0.000
I-C4H3             0   357.000     5.180     0.000     0.000     0.000
P-C3H4             0   252.000     4.760     0.000     0.000     0.000
A-C3H4             0   252.000     4.760     0.000     0.000     0.000
T-C3H5             0   266.800     4.982     0.000     0.000     0.000
C3H5O              0   411.000     4.820     0.000     0.000     0.000
C3H6               0   266.800     4.982     0.000     0.000     0.000
I-C3H7             0   329.514     4.272     0.000     0.000     0.000
C3H8               0   266.800     4.982     0.000     0.000     0.000
I-C3H7O            0   395.749     4.741     0.000     0.000     0.000
N-C3H7O            0   395.749     4.741     0.000     0.000     0.000
C2H3CO             0   379.854     4.632     0.000     0.000     0.000
CH3CHCO            0   383.872     4.660     0.000     0.000     0.000
C2H5CO             0   387.860     4.687     0.000     0.000     0.000
CH2CCH2OH           0   387.860     4.687     0.000     0.000     0.000
CH2CH2CHO           0   387.860     4.687     0.000     0.000     0.000
CH3COCH2           0   387.860     4.687     0.000     0.000     0.000
C2H5CHO            0   391.819     4.715     0.000     0.000     0.000
C3H6O1-2           0   391.819     4.715     0.000     0.000     0.000
C3H6O1-3           0   391.819     4.715     0.000     0.000     0.000
C3H6OH             0   395.749     4.741     0.000     0.000     0.000
CH3COCH2O           0   447.639     5.086     0.000     0.000     0.000
A-C3H5OOH           0   451.210     5.109     0.000     0.000     0.000
C3H6OOH1-2           0   454.761     5.132     0.000     0.000     0.000
C3H6OOH1-3           0   454.761     5.132     0.000     0.000     0.000
C3H6OOH2-1           0   454.761     5.132     0.000     0.000     0.000
I-C3H7O2           0   454.761     5.132     0.000     0.000     0.000
N-C3H7O2           0   454.761     5.132     0.000     0.000     0.000
N-C3H7O2H           0   458.292     5.154     0.000     0.000     0.000
CH3COCH2O2           0   502.115     5.429     0.000     0.000     0.000
CH3COCH2O2H           0   505.403     5.449     0.000     0.000     0.000
C3KET12            0   505.403     5.449     0.000     0.000     0.000
C3KET13            0   505.403     5.449     0.000     0.000     0.000
HOC3H6O2           0   508.675     5.469     0.000     0.000     0.000
C3H52-1J3OOH           0   558.732     5.769     0.000     0.000     0.000
C3H6OOH1-3O2           0   558.732     5.769     0.000     0.000     0.000
C3H6OOH1-2O2           0   558.732     5.769     0.000     0.000     0.000
C4H                0   357.000     5.180     0.000     0.000     0.000
C6H2               0   495.300     5.680     0.000     0.000     0.000
C8H2               0   495.300     5.680     0.000     0.000     0.000
A1-C6H6            0   464.800     5.290     0.000     0.000     0.000
C4H71-1            0   380.022     4.633     0.000     0.000     0.000
C4H71-2            0   380.022     4.633     0.000     0.000     0.000
C4H71-3            0   380.022     4.633     0.000     0.000     0.000
C4H8-1             0   384.039     4.661     0.000     0.000     0.000
C4H8-2             0   384.039     4.661     0.000     0.000     0.000
C4H7O              0   440.584     5.040     0.000     0.000     0.000
C4H71-4            0   380.022     4.633     0.000     0.000     0.000
C6H12-1            0   485.857     5.328     0.000     0.000     0.000
C4H8O1-2           0   444.197     5.063     0.000     0.000     0.000
P-C4H9             0   388.026     4.689     0.000     0.000     0.000
N-C7H16            0   537.597     5.644     0.000     0.000     0.000
P-C4H9O            0   447.788     5.087     0.000     0.000     0.000
S-C4H9             0   388.026     4.689     0.000     0.000     0.000
A-C3H5CHO           0   436.950     5.016     0.000     0.000     0.000
C2H3COCH3           0   436.950     5.016     0.000     0.000     0.000
C2H5CHCO           0   436.950     5.016     0.000     0.000     0.000
C2H5COCH2           0   440.584     5.040     0.000     0.000     0.000
C2H5COCH3           0   444.197     5.063     0.000     0.000     0.000
C3H6CHO-1           0   440.584     5.040     0.000     0.000     0.000
C3H6CHO-2           0   440.584     5.040     0.000     0.000     0.000
C3H6CHO-3           0   440.584     5.040     0.000     0.000     0.000
CH2CH2COCH3           0   440.584     5.040     0.000     0.000     0.000
CH3CHCOCH3           0   440.584     5.040     0.000     0.000     0.000
N-C3H7CO           0   440.584     5.040     0.000     0.000     0.000
C4H8O1-3           0   444.197     5.063     0.000     0.000     0.000
N-C3H7CHO           0   444.197     5.063     0.000     0.000     0.000
P-C4H8OH           0   447.788     5.087     0.000     0.000     0.000
