thermo all
   300.000  1000.000  5000.000
C9H20             thgen C   9H  20          G   200.00   5000.00  1000.00      1
 1.73258464E+01 6.12726858E-02-2.45431279E-05 4.50642538E-09-3.10607918E-13    2
-3.71358938E+04-5.91887401E+01-2.27056736E+00 1.15091940E-01-8.59538742E-05    3
 4.40041186E-08-1.26203951E-11-3.13913242E+04 4.29761585E+01                   4
C9H19a            thgen C   9H  19          G   200.00   5000.00  1000.00      1
 1.74031031E+01 5.83467220E-02-2.33841197E-05 4.29559848E-09-2.96185772E-13    2
-1.23048187E+04-5.62198816E+01-2.21775919E+00 1.15936349E-01-9.74611180E-05    3
 5.83692070E-08-1.82615610E-11-6.71176442E+03 4.52319128E+01                   4
C9H19b            thgen C   9H  19          G   200.00   5000.00  1000.00      1
 1.71069870E+01 5.82301981E-02-2.32803447E-05 4.27436538E-09-2.94804232E-13    2
-1.36067311E+04-5.41077129E+01-5.05760658E+00 1.37345444E-01-1.61432317E-04    3
 1.34920649E-07-4.97397669E-11-7.72168109E+03 5.77730958E+01                   4
C9H19c            thgen C   9H  19          G   200.00   5000.00  1000.00      1
 1.71069870E+01 5.82301981E-02-2.32803447E-05 4.27436538E-09-2.94804232E-13    2
-1.36067311E+04-5.41077129E+01-5.05760658E+00 1.37345444E-01-1.61432317E-04    3
 1.34920649E-07-4.97397669E-11-7.72168109E+03 5.77730958E+01                   4
C9H19d            thgen C   9H  19          G   200.00   5000.00  1000.00      1
 1.71069870E+01 5.82301981E-02-2.32803447E-05 4.27436538E-09-2.94804232E-13    2
-1.36067311E+04-5.41077129E+01-5.05760658E+00 1.37345444E-01-1.61432317E-04    3
 1.34920649E-07-4.97397669E-11-7.72168109E+03 5.77730958E+01                   4
C9H19e            thgen C   9H  19          G   200.00   5000.00  1000.00      1
 1.71069654E+01 5.82302565E-02-2.32803825E-05 4.27437409E-09-2.94804894E-13    2
-1.36067212E+04-5.48003933E+01-5.05758953E+00 1.37345056E-01-1.61430545E-04    3
 1.34918065E-07-4.97385779E-11-7.72168007E+03 5.70802559E+01                   4
C8H17a            thgen C   8H  17          G   200.00   5000.00  1000.00      1
 1.53263694E+01 5.21843850E-02-2.09150930E-05 3.84160077E-09-2.64840370E-13    2
-8.74364745E+03-4.69206725E+01-1.07723360E+00 9.67560828E-02-7.07156039E-05    3
 3.50431126E-08-9.83393608E-12-3.91228186E+03 3.87117304E+01                   4
C7H15a            thgen C   7H  15          G   200.00   5000.00  1000.00      1
 1.32530099E+01 4.60175728E-02-1.84442755E-05 3.38730081E-09-2.33476264E-13    2
-5.18428291E+03-3.76401115E+01 6.34377638E-02 7.75828066E-02-4.40116990E-05    3
 1.17811662E-08-1.43557973E-12-1.11289880E+03 3.21912737E+01                   4
nC3H7             thgen C   3H   7          G   200.00   5000.00  1000.00      1
