TRANSPORT
!VERSION: AramcoMech 1.3[dat]
!AUTHORS: W. K. Metcalfe, S. Burke, H. J. Curran[dat]
!WEBSITE: http://c3.nuigalway.ie/[dat]
DMM2_OOH3_7 2 644.856 6.26 0.0 0.0 0.0
C4H8O4_13 2 728.283 6.708 0.0 0.0 0.0
C4H8O4_15 2 728.283 6.708 0.0 0.0 0.0
C4H8O4_35 2 728.283 6.708 0.0 0.0 0.0
DMM2_OOH1_OO3 2 728.283 6.708 0.0 0.0 0.0
DMM2_OOH1_OO5 2 728.283 6.708 0.0 0.0 0.0
DMM2_OOH3_OO1 2 728.283 6.708 0.0 0.0 0.0
DMM2_OOH3_OO5 2 728.283 6.708 0.0 0.0 0.0
DMM2_OOH3_OO7 2 728.283 6.708 0.0 0.0 0.0
DMM2_KET13 2 684.858 6.478 0.0 0.0 0.0
DMM2_KET15 2 684.858 6.478 0.0 0.0 0.0
DMM2_KET31 2 684.858 6.478 0.0 0.0 0.0
DMM2_KET35 2 684.858 6.478 0.0 0.0 0.0
DMM2_KET37 2 684.858 6.478 0.0 0.0 0.0
DMM2BO 2 552.607 5.733 0.0 0.0 0.0
DMM2AOOH 2 644.856 6.26 0.0 0.0 0.0
DMM2BOOH 2 644.856 6.26 0.0 0.0 0.0
COCOCOCOj 2 723.34 6.682 0.0 0.0 0.0
! Zhao 2008[dat]
CHOOCOCHO 2 481.8 3.626 0.0 0.0 1.0
! Zhao 2008[dat]
CHOOCHO 2 481.8 3.626 0.0 0.0 1.0
! Zhao 2008[dat]
CHOOCO 2 481.8 3.626 0.0 0.0 1.0
CH3OCH2OCOO 2 552.607 5.733 0.0 0.0 0.0
CH3OCOOCHO 2 552.607 5.733 0.0 0.0 0.0
CH3OCOOCO 2 552.607 5.733 0.0 0.0 0.0
CHOOCOCO 2 552.607 5.733 0.0 0.0 0.0
CH3OCH2OH 2 415.2 4.6 0.0 0.0 1.0
CH2OCH2OH 2 329.4 4.624 0.0 0.0 1.0
CH3OCO2 2 543.4 5.095 1.7 0.0 1.0
CH3OCO2H 2 543.4 5.095 1.7 0.0 1.0
CH2OCO2H 2 543.4 5.095 1.7 0.0 1.0
CH3OCO2CH2O 2 454.172 6.16 0.0 0.0 0.0
CN 1 75.0 3.856 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
HCN 1 569.0 3.63 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
HCNO 2 232.4 3.828 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
NCN 1 232.4 3.828 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
HNC 1 569.0 3.63 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
HNCN 1 232.4 3.828 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
H2CN 1 569.0 3.63 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
C2N2 1 349.0 4.361 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
HOCN 2 232.4 3.828 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
HNCO 2 232.4 3.828 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
NCO 1 232.4 3.828 0.0 0.0 1.0
! =HCNO[dat]
CH3NO 2 232.4 3.828 0.0 0.0 1.0
CH2NO2 2 232.4 3.828 0.0 0.0 1.0
CH3NO2 2 232.4 3.828 0.0 0.0 1.0
CH3ONO 2 232.4 3.828 0.0 0.0 1.0
CH3OCH2NH2 2 403.13	5.78 0.0 0.0 0.0
