!TRANSPORT DATA
HOCHO                     2  436.000  3.970    0.000    0.000    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
OCHO                      2  498.000  3.590    0.000    0.000    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
OCHCHO                    2   440.200     4.010     0.000     0.000     2.000 ! NMM CHOCHO
!</003_C1_004_CH2O_LTOXID>
!<003_C1_004_CH2O_PYROSPEC>
CH2O                      2  498.000  3.590    0.000    0.000    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
HCO                       2  498.000  3.590    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
HCOH                      2  498.000  3.590    0.000    0.000    1.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
C3H6O3                    2  500.000  6.093    2.180    0.237    1.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
!</003_C1_004_CH2O_PYROSPEC>
!<004_C2_001_C2H6_LTOXID>
C2H5O2H                   2  470.600  4.410    0.000    0.000    1.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
C2H5O2                    2  470.600  4.410    0.000    0.000    1.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
!</004_C2_001_C2H6_LTOXID>
!<004_C2_001_C2H6_PYROSPEC>
C2H6                      2  247.500  4.350    0.000    0.000    1.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
C2H5                      2  247.500  4.350    0.000    0.000    1.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
!</004_C2_001_C2H6_PYROSPEC>
!<004_C2_002_C2H4_HTOXID>
CHOCHO                    1  440.200  4.010    0.000    0.000    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
C2H3OOH                   2  436.000  3.970    0.000    0.000    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
C2H3OO                    2  436.000  3.970    0.000    0.000    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: CH3CO2
CHCHO                     2  436.000  3.970    0.000    0.000    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: HCCOH
!</004_C2_002_C2H4_HTOXID>
!<004_C2_002_C2H4_PYROSPEC>
C2H4                      2  238.400  3.496    0.000    0.000    1.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
C2H3                      2  265.300  3.721    0.000    0.000    1.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
!</004_C2_002_C2H4_PYROSPEC>
!<004_C2_003_C2H2_HTOXID>
C2O                       1  232.400  3.828    0.000    0.000    1.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: *
!</004_C2_003_C2H2_HTOXID>
!<004_C2_003_C2H2_PYROSPEC>
C2H2                      1  265.300  3.721    0.000    0.000    2.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
C2H                       1  265.300  3.721    0.000    0.000    2.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
H2CC                      2  209.000  4.100    0.000    0.000    2.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
C2                        1  97.530   3.621    0.000    1.760    4.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
!</004_C2_003_C2H2_PYROSPEC>
!<004_C2_004_C2H5OH_LTOXID>
O2C2H4OH                  2  523.200  5.664    1.700    0.000    1.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
C2H4O2H                   2  470.600  4.410    0.000    0.000    1.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
C2H4O1-2                  2  436.000  3.970    0.000    0.000    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
C2H3O1-2                  2  436.000  3.970    0.000    0.000    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CH2CH2O-2OOH              2  395.000     4.037     1.300     0.000     1.000 !
CH2CH2OH-2O2              2   395.000     4.037     1.300     0.000     1.000 !
CH3CHOH-1O2               2   395.000     4.037     1.300     0.000     1.000 !
C2H4O-1OOH                2   395.000     4.037     1.300     0.000     1.000 !
CH3COHOOH                 2   395.000     4.037     1.300     0.000     1.000 !
!</004_C2_004_C2H5OH_LTOXID>
!<004_C2_004_C2H5OH_PYROSPEC>
C2H5OH                    2  470.600  4.410    0.000    0.000    1.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
C2H5O                     2  470.600  4.410    0.000    0.000    1.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CH2CH2OH                  2  470.600  4.410    0.000    0.000    1.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CH3CHOH                   2  470.600  4.410    0.000    0.000    1.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CH2CHOH-2OOH              2   395.000     4.037     1.300     0.000     1.000 !
CH2CHOH-1OOH              2   395.000     4.037     1.300     0.000     1.000 !
CY(CCO)OH                 2   436.000     3.970     0.000     0.000     2.000 !
!</004_C2_004_C2H5OH_PYROSPEC>
!<004_C2_005_CH3CHO_LTOXID>
O2CH2CHO                  2  275.049  5.428    0.000    0.000    1.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
HO2CH2CO                  2  279.007  5.505    1.300    0.000    1.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
OCOCHO                    2  840.313  5.460    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
KHO2COCHO                 2  1058.590 6.500    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
O2QCH2CO3H                2  1035.590 6.640    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
QCH2CO3H                  2  868.840  5.760    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
H2COCO#                   2  856.230  5.480    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CH2CO2                    2  899.000  5.640    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
!</004_C2_005_CH3CHO_LTOXID>
!<004_C2_005_CH3CHO_PYROSPEC>
CH3CHO                    2  436.000  3.970    0.000    0.000    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CH3CO                     2  436.000  3.970    0.000    0.000    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
