!CH3OH              2   481.800     3.626     1.700     0.000     1.000 ! Dcjp Miller trans

!CO2                1   244.000     3.763     0.000     2.650     2.100 ! Chemkin transport database
CO2                1  1201.184     3.386     0.000     2.598     2.1 ! theoret trans
!CO2                1   235.373     3.808     0.000     2.650     2.100 ! LJcjp Miller trans

!HOCO               2   460.573     1.5       0.000     0.000     1.000 !=HCOOH
!HOCO               2   436.000     3.970     0.000     0.000     2.000 ! WJP LLNL
HOCO               2  1250.801     3.600     2.854     3.334     2.1 ! theoret trans

!HCOO               2   460.573     1.5       0.000     0.000     1.000 !=HCOOH 
!OCHO               2   498.000     3.590     0.000     0.000     2.000 ! WJP LLNL
!OCHO(B2)          2   767.671     3.503     0.000     0.000     2 ! theoret trans
OCHO               2   767.671     3.503     1.552     3.046     2 ! theoret trans
HCOO               2  1916.784     3.531     3.211     4.798     2 ! theoret trans

!CH2OO              1   404.989     4.082     0.000     0.000     1.000 !
CH2OO              2  1823.477     3.650     3.976     4.365     2 ! theoret trans

!HCOOH              2   460.573     1.5       0.000     0.000     1.000 !est
!HOCHO              2   436.000     3.970     0.000     0.000     2.000 ! WJP LLNL		
HCOOH              2  1325.130     3.700     1.438     3.330     2 ! theoret trans

!HOCH2O             1   404.989     4.082     0.000     0.000     1.000 !
!HOCH2O             2   470.600     4.410     0.000     0.000     1.500 ! WJP LLNL
HOCH2O             2  1248.670     3.878     1.372     3.682     2 ! theoret trans

!CH2OOH             1   404.989     4.082     0.000     0.000     1.000 !
CH2OOH             2   481.800     3.626     0.000     0.000     1.000 ! CH3OOH LLNL

HOCHOH             2  1409.636     3.880     0.059     3.825     2 ! =CH2(OH)2

!CH3O2              2   481.800     3.626     0.000     0.000     1.000 !=MetOH WJP LLNL
CH3O2              2  1251.465     3.933     2.708     3.789     2 ! theoret trans
!CH3O2              2   386.690     4.684     0.000     0.000     2.000 ! LJcjp Miller trans

!CH3O2H             2   481.800     3.626     0.000     0.000     1.000 !=MetOH WJP LLNL
CH3O2H             2  1515.877     3.969     0.303     4.067     2 ! theoret trans
!CH3OOH             2   386.690     4.684     0.000     0.000     2.000 ! LJcjp Miller trans

!CH2(OH)2           1   404.989     4.082     0.000     0.000     1.000 !
CH2(OH)2           2  1409.636     3.880     0.059     3.825     2 ! theoret trans

cCO3               2  1940.047     3.682     0.838     3.798     1 ! theoret trans

OCHOO              2  1559.197    3.918   1.538   4.071   1 ! theoret trans

OCHOOH             2  2022.313    3.896   1.462   4.166   1 ! theoret trans

HOOCH2O            2  1690.517    4.118   0.961   4.507   1 ! theoret trans

HOCH2OO            2  1700.732    4.049   1.922   4.407   1 ! theoret trans

HOCH2OOH           2  2056.868    4.086   2.111   4.696   1 ! theoret trans

!C2                 1    97.530     3.621     0.000     1.760     4.000 ! Chemkin transport database
C2                 1  2198.288     3.097     0.000     5.278     4 ! theoret trans
